nIdMap	pX	pY	pX1	pY1	sNameMap
340	1888	3333	236	208	M¹c Cao QuËt
340	1874	3208	234	200	M¹c Cao QuËt
340	1782	3241	222	202	M¹c Cao QuËt
340	1832	3088	229	193	M¹c Cao QuËt
340	1868	2944	233	184	M¹c Cao QuËt
340	1889	2862	236	178	M¹c Cao QuËt
340	1841	2771	230	173	M¹c Cao QuËt
340	1746	2777	218	173	M¹c Cao QuËt
340	1672	2767	209	172	M¹c Cao QuËt
340	1752	2960	219	185	M¹c Cao QuËt
340	1622	3369	202	210	M¹c Cao QuËt
340	1510	3294	188	205	M¹c Cao QuËt
340	1422	3169	177	198	M¹c Cao QuËt
340	1292	3296	161	206	M¹c Cao QuËt
340	1327	3152	165	197	M¹c Cao QuËt
340	1389	3092	173	193	M¹c Cao QuËt
340	1317	3010	164	188	M¹c Cao QuËt
340	1319	2907	164	181	M¹c Cao QuËt
340	1496	2785	187	174	M¹c Cao QuËt
340	1416	2768	177	173	M¹c Cao QuËt
