nIdMap	pX	pY	pX1	pY1	sNameMap
321	1103	2407	137	150	Tr­êng B¹ch s¬n Nam 
321	1169	2456	146	153	Tr­êng B¹ch s¬n Nam 
321	1120	2574	140	160	Tr­êng B¹ch s¬n Nam 
321	1234	2501	154	156	Tr­êng B¹ch s¬n Nam 
321	1307	2412	163	150	Tr­êng B¹ch s¬n Nam 
321	1375	2340	171	146	Tr­êng B¹ch s¬n Nam 
321	1376	2480	172	155	Tr­êng B¹ch s¬n Nam 
321	1447	2398	180	149	Tr­êng B¹ch s¬n Nam 
321	1456	2595	182	162	Tr­êng B¹ch s¬n Nam 
321	1549	2379	193	148	Tr­êng B¹ch s¬n Nam 
321	1296	2721	162	170	Tr­êng B¹ch s¬n Nam 
321	1171	2794	146	174	Tr­êng B¹ch s¬n Nam 
321	1004	2619	125	163	Tr­êng B¹ch s¬n Nam 
321	1022	2805	127	175	Tr­êng B¹ch s¬n Nam 
321	1000	2960	125	185	Tr­êng B¹ch s¬n Nam 
321	1070	3063	133	191	Tr­êng B¹ch s¬n Nam 
321	1201	2910	150	181	Tr­êng B¹ch s¬n Nam 
321	1153	3135	144	195	Tr­êng B¹ch s¬n Nam 
321	1262	3092	157	193	Tr­êng B¹ch s¬n Nam 
321	1328	2896	166	181	Tr­êng B¹ch s¬n Nam 
321	1395	2992	174	187	Tr­êng B¹ch s¬n Nam 
321	1401	2803	175	175	Tr­êng B¹ch s¬n Nam 
321	1521	2699	190	168	Tr­êng B¹ch s¬n Nam 
321	1545	2621	193	163	Tr­êng B¹ch s¬n Nam 
321	1536	2912	192	182	Tr­êng B¹ch s¬n Nam 
321	1473	3013	184	188	Tr­êng B¹ch s¬n Nam 
321	1382	3092	172	193	Tr­êng B¹ch s¬n Nam 
321	1485	3118	185	194	Tr­êng B¹ch s¬n Nam 
321	1026	2319	128	144	Tr­êng B¹ch s¬n Nam 
321	1038	2432	129	152	Tr­êng B¹ch s¬n Nam 
