EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
XÝch Thè																																																
ChiÕu D¹																																																
§Ých L«																																																
Ngùa 4																																																
Ngùa 5																																																
¤ V©n §¹p Tuyªt																																																
Ngùa 7																																																
Tóc S­¬ng																																																
Ngùa 9																																																
TuyÖt ¶nh																																																
B«n Tiªu																																																
Phiªn Vò																																																
Phi V©n																																																
XÝch Long C©u																																																
TuyÖt §Þa																																																
Du Huy																																																
§»ng Vô																																																
Siªu Quang																																																
Hæ																																																
Hæ Vµng																																																
Hæ Tr¾ng																																																
Hæ §en																																																
H·n HuyÕt Long C©u																																																
S­ Tö																																																
L¹c §µ																																																
L¹c §µ																																																
ThÇn Léc																																																
D­¬ng Sa																																																
Ngù Phong																																																
Truy §iÖn																																																
L­u Tinh																																																
TÞch V©n M·																																							..\man\117_ra02.spr	..\man\117_rw.spr	..\man\117_rr.spr	..\man\117_ra01.spr	..\man\117_ra02.spr	..\man\117_rm.spr	..\man\117_rb.spr	..\man\117_rd.spr	..\man\117_ra02.spr	..\man\117_ra02.spr
¤ V©n																																							..\man\114_ra02.spr	..\man\114_rw.spr	..\man\114_rr.spr	..\man\114_ra01.spr	..\man\114_ra02.spr	..\man\114_rm.spr	..\man\114_rb.spr	..\man\114_rd.spr	..\man\114_ra02.spr	..\man\114_ra02.spr
Hoµng v©n m·																																							..\man\115_ra02.spr	..\man\115_rw.spr	..\man\115_rr.spr	..\man\115_ra01.spr	..\man\115_ra02.spr	..\man\115_rm.spr	..\man\115_rb.spr	..\man\115_rd.spr	..\man\115_ra02.spr	..\man\115_ra02.spr
Kú L©n Sõng §á																																							..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr
Kú l©n ®en 																																							..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr
C¸o tr¾ng																																							..\man\vip_yaohu2_002_ra02.spr	..\man\vip_yaohu2_002_rw.spr	..\man\vip_yaohu2_002_rr.spr	..\man\vip_yaohu2_002_ra01.spr	..\man\vip_yaohu2_002_ra02.spr	..\man\vip_yaohu2_002_rm.spr	..\man\vip_yaohu2_002_rb.spr		..\man\vip_yaohu2_002_ra02.spr	..\man\vip_yaohu2_002_ra02.spr
C¸o vµng																																							..\man\vip_yaohu3_002_ra02.spr	..\man\vip_yaohu3_002_rw.spr	..\man\vip_yaohu3_002_rr.spr	..\man\vip_yaohu3_002_ra01.spr	..\man\vip_yaohu3_002_ra02.spr	..\man\vip_yaohu3_002_rm.spr	..\man\vip_yaohu3_002_rb.spr		..\man\vip_yaohu3_002_ra02.spr	..\man\vip_yaohu3_002_ra02.spr
H­u tuyÕt																																																
Thá tr¾ng																																							..\man\MA_HTF_114_RD01.spr	..\man\MA_HTF_114_HW01.spr	..\man\MA_HTF_114_HR01.spr	..\man\MA_HTF_114_HA01.spr	..\man\MA_HTF_114_HA02.spr	..\man\MA_HTF_114_HM01.spr	..\man\MA_HTF_114_HI01.spr	..\man\MA_HTF_114_HD01.spr	..\man\MA_HTF_114_RD01.spr	..\man\MA_HTF_114_RD01.spr
Hoµng ti dª																																							..\man\eff_000_ra02.spr	..\man\eff_000_rw.spr	..\man\eff_000_rr.spr	..\man\eff_000_ra01.spr	..\man\eff_000_ra02.spr	..\man\eff_000_rm.spr	..\man\eff_000_rb.spr	..\man\eff_000_rs.spr	..\man\eff_000_ra02.spr	..\man\eff_000_ra02.spr
Lôc kú l©n																																							..\man\2014_vip_003_ra02.spr	..\man\2014_vip_003_rw.spr	..\man\2014_vip_003_rr.spr	..\man\2014_vip_003_ra01.spr	..\man\2014_vip_003_ra02.spr	..\man\2014_vip_003_rm.spr	..\man\2014_vip_003_rb.spr	..\man\2014_vip_003_rd.spr	..\man\2014_vip_003_ra02.spr	..\man\2014_vip_003_ra02.spr
Rång Löa																																							..\man\MA_HTF_119vip_RD01.spr	..\man\MA_HTF_119vip_HW01.spr	..\man\MA_HTF_119vip_HR01.spr	..\man\MA_HTF_119vip_HA01.spr	..\man\MA_HTF_119vip_HA02.spr	..\man\MA_HTF_119vip_HM01.spr	..\man\MA_HTF_119vip_HI01.spr	..\man\MA_HTF_119vip_HD01.spr	..\man\MA_HTF_119vip_RD01.spr	..\man\MA_HTF_119vip_RD01.spr
H¾c Phong																																							..\man\eff_000_ra02.spr	..\man\eff_000_rw.spr	..\man\eff_000_rr.spr	..\man\eff_000_ra01.spr	..\man\eff_000_ra02.spr	..\man\eff_000_rm.spr	..\man\eff_000_rb.spr	..\man\eff_000_rs.spr	..\man\eff_000_ra02.spr	..\man\eff_000_ra02.spr
B¹ch Long																																							..\man\eff_000_ra02.spr	..\man\eff_000_rw.spr	..\man\eff_000_rr.spr	..\man\eff_000_ra01.spr	..\man\eff_000_ra02.spr	..\man\eff_000_rm.spr	..\man\eff_000_rb.spr	..\man\eff_000_rs.spr	..\man\eff_000_ra02.spr	..\man\eff_000_ra02.spr
Tö §iÖn 																																							..\man\116_ra02.spr	..\man\116_rw.spr	..\man\116_rr.spr	..\man\116_ra01.spr	..\man\116_ra02.spr	..\man\116_rm.spr	..\man\116_rb.spr	..\man\116_rd.spr	..\man\116_ra02.spr	..\man\116_ra02.spr
TuyÕt L©n																																							..\man\114_ra02.spr	..\man\114_rw.spr	..\man\114_rr.spr	..\man\114_ra01.spr	..\man\114_ra02.spr	..\man\114_rm.spr	..\man\114_rb.spr	..\man\114_rd.spr	..\man\114_ra02.spr	..\man\114_ra02.spr
L«i ¶nh																																							..\man\117_ra02.spr	..\man\117_rw.spr	..\man\117_rr.spr	..\man\117_ra01.spr	..\man\117_ra02.spr	..\man\117_rm.spr	..\man\117_rb.spr	..\man\117_rd.spr	..\man\117_ra02.spr	..\man\117_ra02.spr
HuyÕt Vò																																							..\man\eff_000_ra02.spr	..\man\eff_000_rw.spr	..\man\eff_000_rr.spr	..\man\eff_000_ra01.spr	..\man\eff_000_ra02.spr	..\man\eff_000_rm.spr	..\man\eff_000_rb.spr	..\man\eff_000_rs.spr	..\man\eff_000_ra02.spr	..\man\eff_000_ra02.spr
Ng©n ¶nh																																							..\man\eff_000_ra02.spr	..\man\eff_000_rw.spr	..\man\eff_000_rr.spr	..\man\eff_000_ra01.spr	..\man\eff_000_ra02.spr	..\man\eff_000_rm.spr	..\man\eff_000_rb.spr	..\man\eff_000_rs.spr	..\man\eff_000_ra02.spr	..\man\eff_000_ra02.spr
Long Uy																																							..\man\eff_002_ra02.spr	..\man\eff_002_rw.spr	..\man\eff_002_rr.spr	..\man\eff_002_ra01.spr	..\man\eff_002_ra02.spr	..\man\eff_002_rm.spr	..\man\eff_002_rb.spr	..\man\eff_002_rs.spr	..\man\eff_002_ra02.spr	..\man\eff_002_ra02.spr
Tµng Phong																																							..\man\eff_000_ra02.spr	..\man\eff_000_rw.spr	..\man\eff_000_rr.spr	..\man\eff_000_ra01.spr	..\man\eff_000_ra02.spr	..\man\eff_000_rm.spr	..\man\eff_000_rb.spr	..\man\eff_000_rs.spr	..\man\eff_000_ra02.spr	..\man\eff_000_ra02.spr
Phi TuyÕt																																							..\man\eff_000_ra02.spr	..\man\eff_000_rw.spr	..\man\eff_000_rr.spr	..\man\eff_000_ra01.spr	..\man\eff_000_ra02.spr	..\man\eff_000_rm.spr	..\man\eff_000_rb.spr	..\man\eff_000_rs.spr	..\man\eff_000_ra02.spr	..\man\eff_000_ra02.spr
HuyÕt ¶nh																																							..\man\eff_000_ra02.spr	..\man\eff_000_rw.spr	..\man\eff_000_rr.spr	..\man\eff_000_ra01.spr	..\man\eff_000_ra02.spr	..\man\eff_000_rm.spr	..\man\eff_000_rb.spr	..\man\eff_000_rs.spr	..\man\eff_000_ra02.spr	..\man\eff_000_ra02.spr
B¹ch V©n																																							..\man\eff_000_ra02.spr	..\man\eff_000_rw.spr	..\man\eff_000_rr.spr	..\man\eff_000_ra01.spr	..\man\eff_000_ra02.spr	..\man\eff_000_rm.spr	..\man\eff_000_rb.spr	..\man\eff_000_rs.spr	..\man\eff_000_ra02.spr	..\man\eff_000_ra02.spr
