EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
XÝch Thè																																																
ChiÕu D¹																																																
§Ých L«																																																
Ngùa 4																																																
Ngùa 5																																																
¤ V©n §¹p Tuyªt																																																
Ngùa 7																																																
Tóc S­¬ng																																																
Ngùa 9																																																
TuyÖt ¶nh																																																
B«n Tiªu																																																
Phiªn Vò																																																
Phi V©n																																																
XÝch Long C©u																																																
TuyÖt §Þa																																																
Du Huy																																																
§»ng Vô																																																
Siªu Quang																																																
Hæ																																																
Hæ Vµng																																																
Hæ Tr¾ng																																																
Hæ §en																																																
H·n HuyÕt Long C©u																																																
S­ Tö																																																
L¹c §µ																																																
L¹c §µ																																																
ThÇn Léc																																																
D­¬ng Sa																																																
Ngù Phong																																																
Truy §iÖn																																																
L­u Tinh																																																
TÞch V©n M·																																							117_ra02.spr	117_rw.spr	117_rr.spr	117_ra01.spr	117_ra02.spr	117_rm.spr	117_rb.spr	117_rd.spr	117_ra02.spr	117_ra02.spr
¤ V©n																																							114_ra02.spr	114_rw.spr	114_rr.spr	114_ra01.spr	114_ra02.spr	114_rm.spr	114_rb.spr	114_rd.spr	114_ra02.spr	114_ra02.spr
Hoµng v©n m·																																							115_ra02.spr	115_rw.spr	115_rr.spr	115_ra01.spr	115_ra02.spr	115_rm.spr	115_rb.spr	115_rd.spr	115_ra02.spr	115_ra02.spr
Kú L©n Sõng §á																																							horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr
Kú l©n ®en 																																							horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr
C¸o tr¾ng																																							vip_yaohu2_002_ra02.spr	vip_yaohu2_002_rw.spr	vip_yaohu2_002_rr.spr	vip_yaohu2_002_ra01.spr	vip_yaohu2_002_ra02.spr	vip_yaohu2_002_rm.spr	vip_yaohu2_002_rb.spr		vip_yaohu2_002_ra02.spr	vip_yaohu2_002_ra02.spr
C¸o vµng																																							vip_yaohu3_002_ra02.spr	vip_yaohu3_002_rw.spr	vip_yaohu3_002_rr.spr	vip_yaohu3_002_ra01.spr	vip_yaohu3_002_ra02.spr	vip_yaohu3_002_rm.spr	vip_yaohu3_002_rb.spr		vip_yaohu3_002_ra02.spr	vip_yaohu3_002_ra02.spr
H­u tuyÕt																																																
Thá tr¾ng																																							MA_HTF_114_RD01.spr	MA_HTF_114_HW01.spr	MA_HTF_114_HR01.spr	MA_HTF_114_HA01.spr	MA_HTF_114_HA02.spr	MA_HTF_114_HM01.spr	MA_HTF_114_HI01.spr	MA_HTF_114_HD01.spr	MA_HTF_114_RD01.spr	MA_HTF_114_RD01.spr
Hoµng ti dª																																							eff_000_ra02.spr	eff_000_rw.spr	eff_000_rr.spr	eff_000_ra01.spr	eff_000_ra02.spr	eff_000_rm.spr	eff_000_rb.spr	eff_000_rs.spr	eff_000_ra02.spr	eff_000_ra02.spr
Lôc kú l©n																																							2014_vip_003_ra02.spr	2014_vip_003_rw.spr	2014_vip_003_rr.spr	2014_vip_003_ra01.spr	2014_vip_003_ra02.spr	2014_vip_003_rm.spr	2014_vip_003_rb.spr	2014_vip_003_rd.spr	2014_vip_003_ra02.spr	2014_vip_003_ra02.spr
Rång Löa																																							MA_HTF_119vip_RD01.spr	MA_HTF_119vip_HW01.spr	MA_HTF_119vip_HR01.spr	MA_HTF_119vip_HA01.spr	MA_HTF_119vip_HA02.spr	MA_HTF_119vip_HM01.spr	MA_HTF_119vip_HI01.spr	MA_HTF_119vip_HD01.spr	MA_HTF_119vip_RD01.spr	MA_HTF_119vip_RD01.spr
H¾c Phong																																							eff_000_ra02.spr	eff_000_rw.spr	eff_000_rr.spr	eff_000_ra01.spr	eff_000_ra02.spr	eff_000_rm.spr	eff_000_rb.spr	eff_000_rs.spr	eff_000_ra02.spr	eff_000_ra02.spr
B¹ch Long																																							eff_000_ra02.spr	eff_000_rw.spr	eff_000_rr.spr	eff_000_ra01.spr	eff_000_ra02.spr	eff_000_rm.spr	eff_000_rb.spr	eff_000_rs.spr	eff_000_ra02.spr	eff_000_ra02.spr
Tö §iÖn 																																							116_ra02.spr	116_rw.spr	116_rr.spr	116_ra01.spr	116_ra02.spr	116_rm.spr	116_rb.spr	116_rd.spr	116_ra02.spr	116_ra02.spr
TuyÕt L©n																																							114_ra02.spr	114_rw.spr	114_rr.spr	114_ra01.spr	114_ra02.spr	114_rm.spr	114_rb.spr	114_rd.spr	114_ra02.spr	114_ra02.spr
L«i ¶nh																																							117_ra02.spr	117_rw.spr	117_rr.spr	117_ra01.spr	117_ra02.spr	117_rm.spr	117_rb.spr	117_rd.spr	117_ra02.spr	117_ra02.spr
HuyÕt Vò																																							eff_000_ra02.spr	eff_000_rw.spr	eff_000_rr.spr	eff_000_ra01.spr	eff_000_ra02.spr	eff_000_rm.spr	eff_000_rb.spr	eff_000_rs.spr	eff_000_ra02.spr	eff_000_ra02.spr
Ng©n ¶nh																																							eff_000_ra02.spr	eff_000_rw.spr	eff_000_rr.spr	eff_000_ra01.spr	eff_000_ra02.spr	eff_000_rm.spr	eff_000_rb.spr	eff_000_rs.spr	eff_000_ra02.spr	eff_000_ra02.spr
Long Uy																																							eff_002_ra02.spr	eff_002_rw.spr	eff_002_rr.spr	eff_002_ra01.spr	eff_002_ra02.spr	eff_002_rm.spr	eff_002_rb.spr	eff_002_rs.spr	eff_002_ra02.spr	eff_002_ra02.spr
Tµng Phong																																							eff_000_ra02.spr	eff_000_rw.spr	eff_000_rr.spr	eff_000_ra01.spr	eff_000_ra02.spr	eff_000_rm.spr	eff_000_rb.spr	eff_000_rs.spr	eff_000_ra02.spr	eff_000_ra02.spr
Phi TuyÕt																																							eff_000_ra02.spr	eff_000_rw.spr	eff_000_rr.spr	eff_000_ra01.spr	eff_000_ra02.spr	eff_000_rm.spr	eff_000_rb.spr	eff_000_rs.spr	eff_000_ra02.spr	eff_000_ra02.spr
HuyÕt ¶nh																																							eff_000_ra02.spr	eff_000_rw.spr	eff_000_rr.spr	eff_000_ra01.spr	eff_000_ra02.spr	eff_000_rm.spr	eff_000_rb.spr	eff_000_rs.spr	eff_000_ra02.spr	eff_000_ra02.spr
B¹ch V©n																																							eff_000_ra02.spr	eff_000_rw.spr	eff_000_rr.spr	eff_000_ra01.spr	eff_000_ra02.spr	eff_000_rm.spr	eff_000_rb.spr	eff_000_rs.spr	eff_000_ra02.spr	eff_000_ra02.spr
L«i V©n																																							eff_000_ra02.spr	eff_000_rw.spr	eff_000_rr.spr	eff_000_ra01.spr	eff_000_ra02.spr	eff_000_rm.spr	eff_000_rb.spr	eff_000_rs.spr	eff_000_ra02.spr	eff_000_ra02.spr
H¾c M· 																																							eff_000_ra02.spr	eff_000_rw.spr	eff_000_rr.spr	eff_000_ra01.spr	eff_000_ra02.spr	eff_000_rm.spr	eff_000_rb.spr	eff_000_rs.spr	eff_000_ra02.spr	eff_000_ra02.spr
Tö  V©n																																							eff_000_ra02.spr	eff_000_rw.spr	eff_000_rr.spr	eff_000_ra01.spr	eff_000_ra02.spr	eff_000_rm.spr	eff_000_rb.spr	eff_000_rs.spr	eff_000_ra02.spr	eff_000_ra02.spr
Kim Gi¸p 																																							eff_000_ra02.spr	eff_000_rw.spr	eff_000_rr.spr	eff_000_ra01.spr	eff_000_ra02.spr	eff_000_rm.spr	eff_000_rb.spr	eff_000_rs.spr	eff_000_ra02.spr	eff_000_ra02.spr
XÝch V©n																																							eff_000_ra02.spr	eff_000_rw.spr	eff_000_rr.spr	eff_000_ra01.spr	eff_000_ra02.spr	eff_000_rm.spr	eff_000_rb.spr	eff_000_rs.spr	eff_000_ra02.spr	eff_000_ra02.spr
Ti hoµng l©n																																							2014_vip2_003_ra02.spr	2014_vip2_003_rw.spr	2014_vip2_003_rr.spr	2014_vip2_003_ra01.spr	2014_vip2_003_ra02.spr	2014_vip2_003_rm.spr	2014_vip2_003_rb.spr	2014_vip2_003_rd.spr	2014_vip2_003_ra02.spr	2014_vip2_003_ra02.spr
S­ Tö Hoµng Kim																																							2018_vip3_ra02.spr	2018_vip3_rw.spr	2018_vip3_rr.spr	2018_vip3_ra01.spr	2018_vip3_ra02.spr	2018_vip3_rm.spr	2018_vip3_rb.spr	2018_vip3_rd.spr	2018_vip3_ra02.spr	2018_vip3_ra02.spr
