EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
XÝch Thè																																							MA_HB_001_RD01.spr	MA_HB_001_HW01.spr	MA_HB_001_HR01.spr	MA_HB_001_HA01.spr	MA_HB_001_HA02.spr	MA_HB_001_HM01.spr	MA_HB_001_HI01.spr	MA_HB_001_HD01.spr	MA_HB_001_RD02.spr	MA_HB_001_RD03.spr
ChiÕu D¹																																							MA_HB_002_RD01.spr	MA_HB_002_HW01.spr	MA_HB_002_HR01.spr	MA_HB_002_HA01.spr	MA_HB_002_HA02.spr	MA_HB_002_HM01.spr	MA_HB_002_HI01.spr	MA_HB_002_HD01.spr	MA_HB_002_RD02.spr	MA_HB_002_RD03.spr
§Ých L«																																							MA_HB_003_RD01.spr	MA_HB_003_HW01.spr	MA_HB_003_HR01.spr	MA_HB_003_HA01.spr	MA_HB_003_HA02.spr	MA_HB_003_HM01.spr	MA_HB_003_HI01.spr	MA_HB_003_HD01.spr	MA_HB_003_RD02.spr	MA_HB_003_RD03.spr
Ngùa 4																																							MA_HB_004_RD01.spr	MA_HB_004_HW01.spr	MA_HB_004_HR01.spr	MA_HB_004_HA01.spr	MA_HB_004_HA02.spr	MA_HB_004_HM01.spr	MA_HB_004_HI01.spr	MA_HB_004_HD01.spr	MA_HB_004_RD02.spr	MA_HB_004_RD03.spr
Ngùa 5																																							MA_HB_005_RD01.spr	MA_HB_005_HW01.spr	MA_HB_005_HR01.spr	MA_HB_005_HA01.spr	MA_HB_005_HA02.spr	MA_HB_005_HM01.spr	MA_HB_005_HI01.spr	MA_HB_005_HD01.spr	MA_HB_005_RD02.spr	MA_HB_005_RD03.spr
¤ V©n §¹p Tuyªt																																							MA_HB_006_RD01.spr	MA_HB_006_HW01.spr	MA_HB_006_HR01.spr	MA_HB_006_HA01.spr	MA_HB_006_HA02.spr	MA_HB_006_HM01.spr	MA_HB_006_HI01.spr	MA_HB_006_HD01.spr	MA_HB_006_RD02.spr	MA_HB_006_RD03.spr
Ngùa 7																																							MA_HB_007_RD01.spr	MA_HB_007_HW01.spr	MA_HB_007_HR01.spr	MA_HB_007_HA01.spr	MA_HB_007_HA02.spr	MA_HB_007_HM01.spr	MA_HB_007_HI01.spr	MA_HB_007_HD01.spr	MA_HB_007_RD02.spr	MA_HB_007_RD03.spr
Tóc S­¬ng																																							MA_HB_008_RD01.spr	MA_HB_008_HW01.spr	MA_HB_008_HR01.spr	MA_HB_008_HA01.spr	MA_HB_008_HA02.spr	MA_HB_008_HM01.spr	MA_HB_008_HI01.spr	MA_HB_008_HD01.spr	MA_HB_008_RD02.spr	MA_HB_008_RD03.spr
Ngùa 9																																							MA_HB_009_RD01.spr	MA_HB_009_HW01.spr	MA_HB_009_HR01.spr	MA_HB_009_HA01.spr	MA_HB_009_HA02.spr	MA_HB_009_HM01.spr	MA_HB_009_HI01.spr	MA_HB_009_HD01.spr	MA_HB_009_RD02.spr	MA_HB_009_RD03.spr
TuyÖt ¶nh																																							MA_HB_010_RD01.spr	MA_HB_010_HW01.spr	MA_HB_010_HR01.spr	MA_HB_010_HA01.spr	MA_HB_010_HA02.spr	MA_HB_010_HM01.spr	MA_HB_010_HI01.spr	MA_HB_010_HD01.spr	MA_HB_010_RD02.spr	MA_HB_010_RD03.spr
B«n Tiªu																																							MA_HB_011_RD01.spr	MA_HB_011_HW01.spr	MA_HB_011_HR01.spr	MA_HB_011_HA01.spr	MA_HB_011_HA02.spr	MA_HB_011_HM01.spr	MA_HB_011_HI01.spr	MA_HB_011_HD01.spr	MA_HB_011_RD02.spr	MA_HB_011_RD03.spr
Phiªn Vò																																							MA_HB_012_RD01.spr	MA_HB_012_HW01.spr	MA_HB_012_HR01.spr	MA_HB_012_HA01.spr	MA_HB_012_HA02.spr	MA_HB_012_HM01.spr	MA_HB_012_HI01.spr	MA_HB_012_HD01.spr	MA_HB_012_RD02.spr	MA_HB_012_RD03.spr
